id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1045629978683232981,Élysée,48.87470268080112,2.299541423696094,1,,2,3,0,0,1.0,0,1,2,1.0,1.0,3,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1045414852365658871,Élysée,48.88054,2.31059,45,,2,3,352,4,0.94,0,1,4,2.0,1.0,4,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1046998637855388513,Élysée,48.8749161,2.3159379,191,,2,3,326,4,0.99,0,1,2,1.0,1.0,3,1,57,4.68,4.74,4.77,4.91,2.75,,,,
1047061871850465132,Élysée,48.869,2.299,370,,2,3,363,4,1.0,0,1,8,5.0,1.0,3,1,1,3.0,4.0,4.0,5.0,0.07,,,,
1046176578472570763,Élysée,48.8764001,2.3030889,113,,2,3,324,2,0.75,0,1,2,1.0,1.0,90,1,3,4.33,3.67,4.67,4.67,0.33,,,,
1048573595137799419,Élysée,48.87325,2.30339,7,,2,3,226,4,1.0,0,1,2,1.0,1.0,30,0,7,4.71,4.57,4.71,4.71,0.39,,,,
1048409752241799525,Élysée,48.8822381,2.3249817,5,,2,3,288,4,0.95,0,1,8,1.0,1.0,1,1,131,4.74,4.73,4.73,4.88,6.24,,,,
1049366126590276267,Élysée,48.87421,2.30489,25,,2,3,173,2,0.64,0,1,8,4.0,1.0,180,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1049833261720974389,Élysée,48.8729598,2.3263835,191,,2,3,356,4,0.99,0,1,8,3.0,1.0,3,1,49,4.82,4.82,4.98,4.96,2.42,,,,
1049259275902344573,Élysée,48.87456395466986,2.3129479983648267,1,,2,3,148,2,0.7,0,1,3,1.0,1.0,2,0,2,4.5,4.0,5.0,5.0,0.12,,,,
1052202590499595067,Élysée,48.8701089,2.3029906,6,,2,3,293,4,0.99,0,1,8,3.0,1.0,2,1,111,4.84,4.89,4.89,4.97,5.4,,,,
1049962009408778758,Élysée,48.87987953047484,2.3223540534777256,1,,2,3,0,0,1.0,0,1,2,1.0,1.0,3,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1051310623609923800,Élysée,48.870183498846735,2.3043373120314885,5,,2,3,308,4,1.0,1,1,4,1.0,1.0,60,1,47,4.94,4.94,4.96,5.0,2.64,,,,
1052704096731889488,Élysée,48.86846,2.32161,2,,2,3,0,3,0.6,0,1,4,1.0,1.0,30,0,4,4.75,4.75,4.5,5.0,0.28,,,,
1050509062942906341,Élysée,48.88276,2.32491,69,,2,3,232,4,0.95,0,1,3,1.0,1.0,30,1,4,5.0,5.0,5.0,5.0,0.27,,,,
1054173138786710095,Élysée,48.870145,2.3108041,1,,2,3,8,3,1.0,0,1,3,1.0,1.0,7,0,14,5.0,4.5,5.0,5.0,0.75,,,,
1054350979456328754,Élysée,48.8715362,2.3078916,1,,2,3,168,1,0.0,0,1,4,1.0,1.0,3,0,11,4.82,4.82,5.0,5.0,0.57,,,,
1055730682132915508,Élysée,48.8804573,2.3185511,1,,2,3,269,1,0.0,0,1,4,2.0,1.0,2,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1055735288428953585,Élysée,48.87996,2.32122,1,,2,3,263,0,1.0,0,1,5,2.0,1.0,5,0,0,4.82,4.81,4.93,4.97,0.0,,,,
